DCF - Unilever,,,,,,,,,,,,
,,,,,,,,,,,,
Assumptions,,,,,,,,,,,,
Tax Rate,,26.00%,,,,,,,,,,
Discount Rate (WACC),,6.72%,,,,,,,,,,
Perpetual Growth Rate,,3.00%,,,,,,,,,,
EV/EBITDA Multiple,,12.1x,,,,,,,,,,
Transaction Date,,12/31/2025,,,,,,,,,,
Fiscal Year End,,12/31/2025,,,,,,,,,,
Current Price,, € 49.50 ,,,,,,,,,,
Shares Outstanding,,"2,184",,,,,,,,,,
Debt,," € 27,333.00 ",,,,,,,,,,
Cash,," € 4,200.00 ",,,,,,,,,,
Capex,," € 1,500.00 ",,,,,,,,,,
,,,,,,,,,,,,
Discounted Cash Flow,,2025 (Entry),2026,2027,2028,2029,2030 (Exit),,Terminal Value,,,
Date,,12/31/2025,12/31/2026,12/31/2027,12/31/2028,12/31/2029,12/31/2030,,Perpertual Growth ,," € 254,188.27 ",
Time Periods,,,0,1,2,3,4,,EV/EBITDA,," € 157,104.82 ",
Year Fraction,,0.00,1.00,2.00,3.00,4.00,5.00,,Average,," € 205,646.55 ",
EBIT,," € 11,200.00 "," € 11,536.00 "," € 11,882.08 "," € 12,238.54 "," € 12,605.70 "," € 12,983.87 ",,,,,
Less: Cash Taxes,," € 2,912.00 "," € 2,999.36 "," € 3,089.34 "," € 3,182.02 "," € 3,277.48 "," € 3,375.81 ",,,,,
Plus: D&A,," € 1,325.00 "," € 1,364.75 "," € 1,405.69 "," € 1,447.86 "," € 1,491.30 "," € 1,536.04 ",,,,,
Less: Capex,," € 1,500.00 "," € 1,500.00 "," € 1,500.00 "," € 1,500.00 "," € 1,500.00 "," € 1,500.00 ",,,,,
Less: Changes in NWC,, € 400.00 , € 412.00 , € 424.36 , € 437.09 , € 450.20 , € 463.71 ,,,,,
Unlevered FCF,," € 7,713.00 "," € 7,989.39 "," € 8,274.07 "," € 8,567.29 "," € 8,869.31 "," € 9,180.39 ",,,,,
PV of Unlevered FCF,," € 7,713.00 "," € 7,486.31 "," € 7,264.87 "," € 7,048.65 "," € 6,837.65 "," € 6,631.81 ",,,,,
Terminal Value,," € 148,556.73 ",-,-,-,-," € 205,646.55 ",,,,,
Transaction CF,," € -131,241.00 "," € 7,989.39 "," € 8,274.07 "," € 8,567.29 "," € 8,869.31 "," € 214,826.94 ",,,,,
,,,,,,,,,,,,
Intrinsic Value,,,,Market value,,,,,Rate of Return,,,
Enterprise Value," € 183,826.02 ",,,Market Cap,," € 108,108.00 ",,,Target Price Upside,,,48.64%
Plus: Cash," € 4,200.00 ",,,Plus: Debt,," € 27,333.00 ",,,Internal Rate of Return(IRR),,,15%
Less:Debt," € 27,333.00 ",,,Less: Cash,," € 4,200.00 ",,,Buy/Sell,,,BUY
Equity Value," € 160,693.02 ",,,Enterprise Value,," € 131,241.00 ",,,,,,
,,,,,,,,,Market Value Vs Intrinsic Value,,,
Equity Value/Share, € 73.58 ,,,Equity Value/Share,, € 49.50 ,,,Market Value ,,, € 49.50 
,,,,,,,,,Upside,,, € 24.08 
,,,,,,,,,Intrinsic Value,,, € 73.58 
